_id,CRASH_CRN,MUNICIPALITY,POLICE_AGCY,CRASH_YEAR,CRASH_MONTH,DAY_OF_WEEK,BUS_COUNT,SMALL_TRUCK_COUNT,HEAVY_TRUCK_COUNT,SUV_COUNT,VAN_COUNT,BICYCLE_COUNT,FATAL_COUNT,INJURY_COUNT,MAX_SEVERITY_LEVEL,LATITUDE,LONGITUDE,DEC_LAT,DEC_LONG
216734,2022001980,2301,2301,2022,1,5,0,0,0,0,0,0,0,0,0,40 28:08.873,79 54:48.230,40.4691,-79.9134
216735,2022001981,2301,2301,2022,1,5,0,0,0,1,0,0,0,0,0,40 25:19.812,79 59:07.522,40.4222,-79.9854
216736,2022001982,2217,2505,2022,1,5,0,0,0,0,0,0,0,0,0,40 37:41.622,79 56:30.357,40.6282,-79.9418
216737,2022001985,2301,2301,2022,1,5,0,0,0,0,0,0,0,0,0,40 26:32.538,79 59:43.887,40.4424,-79.9955
216738,2022001990,2424,2424,2022,1,5,0,1,0,1,0,0,0,0,0,40 22:58.900,79 48:33.100,40.383,-79.8092
216739,2022001992,2105,2105,2022,1,5,0,1,0,0,0,0,0,0,0,40 16:09.351,79 50:36.747,40.2693,-79.8435
216740,2022001995,2301,2301,2022,1,5,0,0,0,1,0,0,0,0,0,40 25:45.712,79 59:56.762,40.4294,-79.9991
216741,2022001996,2206,2206,2022,1,5,0,0,0,1,0,0,0,0,9,40 34:07.014,79 47:51.379,40.5686,-79.7976
216742,2022001998,2301,2301,2022,1,5,0,0,0,0,0,0,0,0,0,40 24:44.719,79 56:25.490,40.4124,-79.9404
216743,2022002001,2301,2301,2022,1,2,0,0,0,1,0,0,0,0,3,40 27:31.202,79 54:28.700,40.4587,-79.908
216744,2022002008,2301,2301,2022,1,5,0,0,0,0,0,0,0,0,0,40 26:37.682,80 01:39.971,40.4438,-80.0278
216745,2022002012,2301,2301,2022,1,5,0,0,0,1,0,0,0,0,9,40 24:20.534,79 59:57.361,40.4057,-79.9993
216746,2022002016,2445,2445,2022,1,5,0,1,0,0,0,0,0,0,0,40 29:16.373,79 58:21.527,40.4879,-79.9726
216747,2022002022,2428,2428,2022,1,6,0,0,0,0,0,0,0,0,0,40 16:30.427,79 53:17.563,40.2751,-79.8882
216748,2022002113,2461,2461,2022,1,6,0,0,0,0,0,0,0,0,0,40 29:36.505,79 54:53.208,40.4935,-79.9148
216749,2022002117,2301,2301,2022,1,6,0,0,0,0,0,0,0,1,3,40 26:54.112,79 57:31.584,40.4484,-79.9588
216750,2022002126,2115,2115,2022,1,6,0,0,0,0,0,0,0,0,0,40 30:10.710,80 07:36.963,40.503,-80.1269
216751,2022002140,2301,2301,2022,1,6,0,0,0,0,0,0,0,1,3,40 26:55.259,79 53:59.092,40.4487,-79.8997
216752,2022002147,2301,2301,2022,1,6,0,0,0,0,0,0,0,1,3,40 27:03.111,80 00:03.500,40.4509,-80.001
216753,2022002149,2301,2301,2022,1,6,0,0,0,1,0,0,0,0,0,40 28:10.000,79 55:16.200,40.4694,-79.9212
216754,2022002163,2216,2505,2022,1,6,0,0,0,1,1,0,0,1,3,40 37:59.792,80 03:34.299,40.6334,-80.0595
216755,2022002201,2301,2301,2022,1,5,0,0,0,1,0,0,0,1,4,40 25:26.500,79 59:11.000,40.424,-79.9864
216756,2022002207,2301,2301,2022,1,5,0,0,0,0,0,0,0,0,0,40 25:58.231,79 56:11.594,40.4328,-79.9366
216757,2022002225,2113,2113,2022,1,6,0,0,0,0,0,0,0,0,0,40 29:03.266,79 50:14.746,40.4842,-79.8374
216758,2022002226,2301,2301,2022,1,5,0,0,0,2,0,0,0,0,0,40 27:22.740,79 58:11.450,40.4563,-79.9698
216759,2022002229,2113,2113,2022,1,5,0,0,0,1,0,0,0,0,0,40 27:32.083,79 50:34.533,40.4589,-79.8429
